name,ID,ADDRESS,CITY,zip,Shape,PHONE,TYPE,URL
NYC Public Library - Edenwald Branch,6,1255 East 233rd Street,Bronx,10466,"(40.88889472000005, -73.84083619599994)",718-798-3355,Free,http://www.nypl.org/branch/services/wifi.html
NYC Public Library - Francis Martin Branch,8,2150 University Avenue,Bronx,10453,"(40.857437754000046, -73.90927460499995)",718-295-5287,Free,http://www.nypl.org/branch/services/wifi.html
NYC Public Library - Hunt's Point Branch,9,877 Southern Boulevard,Bronx,10459,"(40.81868873900004, -73.89413524399993)",718-617-0338,Free,http://www.nypl.org/branch/services/wifi.html
NYC Public Library - Jerome Park Branch,10,118 Eames Place,Bronx,10468,"(40.86904119500008, -73.90119231999995)",718-549-5200,Free,http://www.nypl.org/branch/services/wifi.html
NYC Public Library - Kingsbridge Branch,11,280 West 231st Street,Bronx,10463,"(40.88032201200008, -73.90798492699992)",718-548-5656,Free,http://www.nypl.org/branch/services/wifi.html
NYC Public Library - Pelham Bay Branch,12,3060 Middletown Road,Bronx,10461,"(40.84429395700005, -73.82788812599995)",718-792-6744,Free,http://www.nypl.org/branch/services/wifi.html
NYC Public Library - Riverdale Branch,13,5540 Mosholu Avenue,Bronx,10471,"(40.90372441100004, -73.9027722539999)",718-549-1212,Free,http://www.nypl.org/branch/services/wifi.html
NYC Public Library -Soundview Branch,14,660 Soundview Avenue,Bronx,10473,"(40.818710714000076, -73.86289094799992)",718-589-0880,Free,http://www.nypl.org/branch/services/wifi.html
NYC Public Library - Spuyten Duyvil Branch,15,650 W. 235th St.,Bronx,10463,"(40.88627489000004, -73.91467093799992)",718-796-1202,Free,http://www.nypl.org/branch/services/wifi.html
NYC Public Library - Throg's Neck Branch,16,3025 Cross Bronx Expressway Extension,Bronx,10465,"(40.82290464000005, -73.81909491699992)",718-792-2612,Free,http://www.nypl.org/branch/services/wifi.html
NYC Public Library - Van Cortlandt,17,3874 Sedgwick Avenue,Bronx,10463,"(40.88276095100008, -73.89392111299992)",718-543-5150,Free,http://www.nypl.org/branch/services/wifi.html
NYC Public Library - Van Nest Branch,18,2147 Barnes Avenue,Bronx,10462,"(40.85487928800006, -73.86414303999993)",718-829-5864,Free,http://www.nypl.org/branch/services/wifi.html
NYC Public Library - Wakefield Branch,19,4100 Lowerre Place,Bronx,10466,"(40.89109825300005, -73.85951905299993)",718-652-4663,Free,http://www.nypl.org/branch/services/wifi.html
NYC Public Library - West Farms Branch,20,2085 Honeywell Avenue,Bronx,10460,"(40.84467596500008, -73.88304497799993)",718-367-5376,Free,http://www.nypl.org/branch/services/wifi.html
NYC Public Library - Westchester Square,21,2521 Glebe Avenue,Bronx,10461,"(40.84110633000006, -73.84662106499991)",718-863-0436,Free,http://www.nypl.org/branch/services/wifi.html
NYC Public Library - Woodlawn Heights,22,4355 Katonah Avenue,Bronx,10470,"(40.900440124000056, -73.86794216099992)",718-519-9627,Free,http://www.nypl.org/branch/services/wifi.html
The Bruckner Bar & Grill,23,1 Bruckner Blvd,Bronx,10454,"(40.808280928000045, -73.93044839999993)",718-665-2001,Free,http://www.openwifispots.com/spot_free_wifi_wireless_hotspot_Bruckner_Bar_and_Grill_New_York_NY_23205.aspx
Longwood Art Gallery Hostos Community College Campus,24,450 Grand Concourse,Bronx,10451,"(40.81736402300004, -73.92731020999992)",718-518-6728,Free,
Community Access,789,1363 Franklin Avenue,Bronx,10456,"(40.83325294200006, -73.90114428699991)",,Free,http://auth.nycwireless.net/node_list.php
Subway,801,2438 Jerome Ave,Bronx,10468,"(40.86213829900004, -73.90121703699992)",,Free,http://auth.nycwireless.net/node_list.php
Barnes & Noble,1031,290 Baychester Ave,Bronx,10475,"(40.86577293700009, -73.82981821999994)",718-862-3945,Free,http://www.barnesandnobleinc.com
City Line Diner,1079,4350 Katonah Ave.,Bronx,10470,"(40.900598107000064, -73.86751988299994)",718-231-4952,Free,http://www.openwifispots.com/spot_free_wifi_wireless_hotspot_City_Line_Diner_Bronx_NY_24466.aspx
Good to Go Rest,1339,1894 Eastchester Rd,Bronx,10461,"(40.85147419300006, -73.84351383899991)",,Free,http://www.wififreespot.com/ny.html
Burger King,1340,103 E 161 Street,Bronx,10451,"(40.82771993000006, -73.92431479599992)",,Free,http://www.wififreespot.com/ny.html
Corner Scone,911,4279 Webster Avenue,Bronx,10470,"(40.89826937000004, -73.8627191189999)",718-231-7766,Free,http://cornerscone.com/
NYC Public Library - Allerton Branch,939,2740 Barnes Avenue,Bronx,10467,"(40.86680476100008, -73.86322248499994)",718-881-4240,Free,http://www.nypl.org/branch/services/wifi.html
NYC Public Library - Belmont Branch,940,610 E. 186th Street,Bronx,10458,"(40.85434724000004, -73.88788942799994)",718-933-6410,Free,http://www.nypl.org/branch/services/wifi.html
NYC Public Library - Bronx Library Center,941,310 East Kingsbridge Road,Bronx,10458,"(40.86300214400006, -73.89455999799992)",718-579-4288,Free,http://www.nypl.org/branch/services/wifi.html
NYC Public Library - Grand Concourse Branch,942,155 East 173rd Street,Bronx,10457,"(40.84400224500007, -73.91008714399993)",718-583-6611,Free,http://www.nypl.org/branch/services/wifi.html
NYC Public Library - High Bridge Branch,943,78 West 168th Street,Bronx,10452,"(40.83795924400005, -73.92353960999992)",718-293-7800,Free,http://www.nypl.org/branch/services/wifi.html
NYC Public Library - Melrose Branch,944,910 Morris Avenue,Bronx,10451,"(40.82659226100009, -73.91758265199991)",718-588-0110,Free,http://www.nypl.org/branch/services/wifi.html
NYC Public Library - Morris Park Branch,945,985 Morris Park Avenue,Bronx,10462,"(40.84806678100006, -73.85697712599995)",718-931-0636,Free,http://www.nypl.org/branch/services/wifi.html
NYC Public Library - Morrisania Branch,946,610 East 169th Street,Bronx,10456,"(40.831264056000066, -73.90178897599992)",718-589-9268,Free,http://www.nypl.org/branch/services/wifi.html
NYC Public Library - Mosholu Branch,947,285 East 205th Street,Bronx,10467,"(40.87438014600008, -73.87838435099991)",718-882-8239,Free,http://www.nypl.org/branch/services/wifi.html
NYC Public Library - Mott Haven Branch,948,321 East 140th Street,Bronx,10454,"(40.81160446500007, -73.92438264599991)",718-665-4878,Free,http://www.nypl.org/branch/services/wifi.html
NYC Public Library - Parkchester Branch,949,1985 Westchester Avenue,Bronx,10462,"(40.83373663100008, -73.85835521699994)",718-829-7830,Free,http://www.nypl.org/branch/services/wifi.html
NYC Public Library - Sedgwich Branch,950,1701 Martin Luther King Jr Blvd,Bronx,10453,"(40.84949441400005, -73.91757752599995)",718-731-2074,Free,http://www.nypl.org/branch/services/wifi.html
NYC Public Library - Tremont Branch,951,1866 Washington Avenue,Bronx,10457,"(40.846042657000055, -73.89834025499994)",718-299-5177,Free,http://www.nypl.org/branch/services/wifi.html
NYC Public Library - Woodstock Branch,952,761 East 160th Street,Bronx,10456,"(40.82064189700009, -73.90462885999995)",718-665-6255,Free,http://www.nypl.org/branch/services/wifi.html
Community Access - Davidson Avenue,1197,1750 Davidson Avenue,Bronx,10453,"(40.848180065000065, -73.91285627699995)",,Free,https://auth.nycwireless.net/hotspots_map.php
Coomunity Access - Rev James A. Polite Avenue,1200,1022 Rev James  A Polite Avenue,Bronx,10459,"(40.82407458800009, -73.89866363499993)",,Free,https://auth.nycwireless.net/hotspots_map.php
Community Access -Tinton Avenue,1201,1189 Tinton Avenue,Bronx,10456,"(40.82897582700008, -73.90069926399991)",,Free,https://auth.nycwireless.net/hotspots_map.php
Panera Bread,1206,340 Baychester Avenue,Bronx,10475,"(40.86769902600008, -73.82863627699993)",,Free,http://www.panerabread.com/cafes/results.php?NAV=2&state=NY&zip=&city=&address=&radius=10&action=searchwifi
"Joyce Kilmer Park, North End around playground",1360,E 164 St Bet Grand Concourse to Walton Av,Bronx,10451,"(40.829657679000036, -73.92194475899993)",,Free,http://www.nycgovparks.org/parks/X028/
Brooklyn Public Library - Arlington,25,203 Arlington Ave.,Brooklyn,11207,"(40.68068718200004, -73.88724084699993)",718-277-6105,Free,http://www.brooklynpubliclibrary.org/
Brooklyn Public Library - Bay Ridge,26,7223 Ridge Blvd.,Brooklyn,11209,"(40.633627224000065, -74.02953989199995)",718-748-5709,Free,http://www.brooklynpubliclibrary.org/
Brooklyn Public Library - Bedford,27,496 Franklin Avenue,Brooklyn,11238,"(40.68182101300005, -73.95616470699991)",718-623-0012,Free,http://www.brooklynpubliclibrary.org/
Brooklyn Public Library - Borough Park,29,1265 43rd St.,Brooklyn,11219,"(40.63888676000005, -73.98900679299993)",718-437-4085,Free,http://www.brooklynpubliclibrary.org/
Brooklyn Public Library - Brighton Beach,30,16 Brighton First Rd.,Brooklyn,11235,"(40.57610901500004, -73.96677419199995)",718-946-2917,Free,http://www.brooklynpubliclibrary.org/
Brooklyn Public Library - Brooklyn Heights,31,280 Cadman Plaza West,Brooklyn,11201,"(40.695670917000086, -73.99138113899994)",718-623-7100,Free,http://www.brooklynpubliclibrary.org/
Brooklyn Public Library - Brower Park,32,725 St. Marks Ave.,Brooklyn,11216,"(40.67537039200005, -73.94856574799991)",718-773-7208,Free,http://www.brooklynpubliclibrary.org/
Brooklyn Public Library - Brownsville,33,61 Glenmore Ave.,Brooklyn,11212,"(40.67152760300007, -73.90860463899992)",718-498-9721,Free,http://www.brooklynpubliclibrary.org/
Brooklyn Public Library - Bushwick,34,340 Bushwick Ave.,Brooklyn,11206,"(40.704559422000045, -73.93961664599993)",718-602-1348,Free,http://www.brooklynpubliclibrary.org/
Brooklyn Public Library - Canarsie,36,1580 Rockaway Pkwy.,Brooklyn,11236,"(40.64220850000004, -73.89952476799994)",718-257-6547,Free,http://www.brooklynpubliclibrary.org/
Brooklyn Public Library - Carroll Gardens,37,396 Clinton St.,Brooklyn,11231,"(40.68321545500004, -73.9980205569999)",718-596-6972,Free,http://www.brooklynpubliclibrary.org/
Brooklyn Public Library - Central Library,39,Grand Army Plaza,Brooklyn,11238,"(40.67224293600009, -73.9681106029999)",718-230-2100,Free,http://www.brooklynpubliclibrary.org/
Brooklyn Public Library - Clarendon,40,2035 Nostrand Ave.,Brooklyn,11210,"(40.63574080900008, -73.94761988599993)",718-421-1159,Free,http://www.brooklynpubliclibrary.org/
Brooklyn Public Library - Clinton Hill,41,380 Washington Ave.,Brooklyn,11238,"(40.68737976600005, -73.9660300459999)",718-398-8713,Free,http://www.brooklynpubliclibrary.org/
Brooklyn Public Library - Coney Island,42,1901 Mermaid Ave.,Brooklyn,11224,"(40.57676898700004, -73.98609757899993)",718-265-3220,Free,http://www.brooklynpubliclibrary.org/
Brooklyn Public Library - Cortelyou,44,1305 Cortelyou Rd.,Brooklyn,11226,"(40.64080360000008, -73.9659636749999)",718-693-7763,Free,http://www.brooklynpubliclibrary.org/
Brooklyn Public Library - Crown Heights Branch,45,560 New York Ave.,Brooklyn,11225,"(40.66120165600006, -73.94813333699994)",718-773-1180,Free,http://www.brooklynpubliclibrary.org/
Brooklyn Public Library - Cypress Hills,46,1197 Sutter Ave.,Brooklyn,11208,"(40.67270539400005, -73.87403488199993)",718-277-6004,Free,http://www.brooklynpubliclibrary.org/
Brooklyn Public Library - DeKalb,47,790 Bushwick Ave.,Brooklyn,11221,"(40.69481730100006, -73.92839945399993)",718-455-3898,Free,http://www.brooklynpubliclibrary.org/
Brooklyn Public Library - Dyker,48,8202 13th Ave.,Brooklyn,11228,"(40.616308022000055, -74.01198722399994)",718-748-6261,Free,http://www.brooklynpubliclibrary.org/
Brooklyn Public Library - East Flatbush,49,9612 Church Ave.,Brooklyn,11212,"(40.655711548000056, -73.91493701499991)",718-922-0927,Free,http://www.brooklynpubliclibrary.org/
Brooklyn Public Library - Eastern Parkway,50,1044 Eastern Pkwy.,Brooklyn,11213,"(40.66846512700005, -73.93364020799993)",718-953-4225,Free,http://www.brooklynpubliclibrary.org/
Brooklyn Public Library - Flatbush,53,22 Linden Blvd.,Brooklyn,11226,"(40.65192292000006, -73.95823854699995)",718-856-0813,Free,http://www.brooklynpubliclibrary.org/
Brooklyn Public Library - Flatlands,54,2065 Flatbush Ave.,Brooklyn,11234,"(40.61976964200005, -73.9332131399999)",718-253-4409,Free,http://www.brooklynpubliclibrary.org/
Brooklyn Public Library - Fort Hamilton,55,9424 Fourth Ave.,Brooklyn,11209,"(40.616372987000034, -74.03136924199993)",718-748-6919,Free,http://www.brooklynpubliclibrary.org/
Brooklyn Public Library - Gerritsen Beach Branch,56,2808 Gerritsen Ave.,Brooklyn,11229,"(40.591357996000056, -73.92396644699994)",718-368-1435,Free,http://www.brooklynpubliclibrary.org/
Brooklyn Public Library - Gravesend,57,303 Ave. X,Brooklyn,11223,"(40.59054527300009, -73.97180776599993)",718-382-5792,Free,http://www.brooklynpubliclibrary.org/
Brooklyn Public Library - Greenpoint,58,107 Norman Ave.,Brooklyn,11222,"(40.72605069000008, -73.95069134899995)",718-349-8504,Free,http://www.brooklynpubliclibrary.org/
Brooklyn Public Library - Highlawn,59,1664 W. 13th St.,Brooklyn,11223,"(40.605690957000036, -73.98623201099991)",718-234-7208,Free,http://www.brooklynpubliclibrary.org/
Brooklyn Public Library - Homecrest,60,2525 Coney Island Ave.,Brooklyn,11223,"(40.595238330000086, -73.96060011299994)",718-382-5924,Free,http://www.brooklynpubliclibrary.org/
Brooklyn Public Library - Jamaica Bay,61,9727 Seaview Ave.,Brooklyn,11236,"(40.63447528000006, -73.8893041369999)",718-241-3571,Free,http://www.brooklynpubliclibrary.org/
Brooklyn Bridge Park,783,92 Plymouth Street,Brooklyn,11201,"(40.70437995300006, -73.99007439199994)",,Free,http://auth.nycwireless.net/hotspots_map.php
Community Access,790,910 DeKalb Avenue,Brooklyn,11221,"(40.69250426900004, -73.9393607149999)",,Free,http://auth.nycwireless.net/node_list.php
DUMBO Wireless,792,155 Water St,Brooklyn,11201,"(40.703306532000056, -73.98779155499994)",718-210-3650,Free,http://dumbonyc.com/2008/05/14/155water-greendesk/
Brooklyn Public Library - Kensington,62,410 Ditmas Ave.,Brooklyn,11218,"(40.63569503800005, -73.9745954089999)",718-435-9431,Free,http://www.brooklynpubliclibrary.org/
Brooklyn Public Library - Kings Bay,63,3650 Nostrand Ave.,Brooklyn,11229,"(40.594862198000044, -73.94112374899993)",718-368-1709,Free,http://www.brooklynpubliclibrary.org/
Brooklyn Public Library - Kings Highway,64,2115 Ocean Ave.,Brooklyn,11229,"(40.61025779000005, -73.9531071159999)",718-375-3037,Free,http://www.brooklynpubliclibrary.org/
Brooklyn Public Library - Leonard,65,81 Devoe St.,Brooklyn,11211,"(40.713645909000036, -73.94793741899991)",718-486-3365,Free,http://www.brooklynpubliclibrary.org/
Brooklyn Public Library - Macon,66,361 Lewis Ave.,Brooklyn,11233,"(40.68300486900006, -73.93480474899991)",718-573-5606,Free,http://www.brooklynpubliclibrary.org/
Brooklyn Public Library - Mapleton,67,1702 60th St,Brooklyn,11204,"(40.62306584000004, -73.98944527399993)",718-256-2117,Free,http://www.brooklynpubliclibrary.org/
Brooklyn Public Library - Marcy,68,617 DeKalb Ave.,Brooklyn,11216,"(40.691623373000084, -73.95128295099994)",718-935-0032,Free,http://www.brooklynpubliclibrary.org/
Brooklyn Public Library - McKinley Park,69,6802 Fort Hamilton Pkwy,Brooklyn,11219,"(40.62921404100007, -74.01187065699992)",718-748-8001,Free,http://www.brooklynpubliclibrary.org/
Brooklyn Public Library - Midwood,70,975 East 16th St,Brooklyn,11230,"(40.62589484400007, -73.96031543499993)",718-252-0967,Free,http://www.brooklynpubliclibrary.org/
Brooklyn Public Library - Mill Basin,71,2385 Ralph Ave,Brooklyn,11234,"(40.61986887100005, -73.91699627999992)",718-241-3973,Free,http://www.brooklynpubliclibrary.org/
Brooklyn Public Library - New Lots,72,665 New Lots Ave.,Brooklyn,11207,"(40.665158820000045, -73.88607037899993)",718-649-0311,Free,http://www.brooklynpubliclibrary.org/
Brooklyn Public Library - New Utrecht,73,1743 86th St.,Brooklyn,11214,"(40.608011084000054, -74.00337819099991)",718-236-4086,Free,http://www.brooklynpubliclibrary.org/
Brooklyn Public Library - Pacific,74,25 Fourth Ave.,Brooklyn,11217,"(40.68346050100007, -73.97853972199994)",718-638-1531,Free,http://www.brooklynpubliclibrary.org/
Brooklyn Public Library - Paerdegat,75,850 E. 59th St.,Brooklyn,11234,"(40.63263701200009, -73.91998514599993)",718-241-3994,Free,http://www.brooklynpubliclibrary.org/
Brooklyn Public Library - Park Slope,76,431 6th Ave.,Brooklyn,11215,"(40.66821683100005, -73.98342903999992)",718-832-1853,Free,http://www.brooklynpubliclibrary.org/
Brooklyn Public Library - Red Hook,77,7 Wolcott St.,Brooklyn,11231,"(40.67525516400008, -74.0103502799999)",718-935-0203,Free,http://www.brooklynpubliclibrary.org/
Brooklyn Public Library - Rugby,78,1000 Utica Ave.,Brooklyn,11203,"(40.648637643000086, -73.93037337499993)",718-566-0054,Free,http://www.brooklynpubliclibrary.org/
Brooklyn Public Library - Ryder,79,5902- 23rd Ave.,Brooklyn,11204,"(40.61591638900006, -73.97604009899993)",718-331-2962,Free,http://www.brooklynpubliclibrary.org/
Brooklyn Public Library - Saratoga,80,"Thomas S. Boyland St. at ""Macon St.""",Brooklyn,11233,"(40.68480634100007, -73.9151378709999)",718-573-5224,Free,http://www.brooklynpubliclibrary.org/
Brooklyn Public Library - Sheepshead Bay,81,2636 E.14th St.,Brooklyn,11235,"(40.586999295000055, -73.95542766999995)",718-368-1815,Free,http://www.brooklynpubliclibrary.org/
Brooklyn Public Library - Spring Creek Branch,82,12143 Flatlands Ave.,Brooklyn,11207,"(40.65326552100004, -73.8859104949999)",718-257-6571,Free,http://www.brooklynpubliclibrary.org/
Brooklyn Public Library - Stone Avenue,83,581 Mother Gaston Boulevard,Brooklyn,11212,"(40.66446803100007, -73.9052116339999)",718-485-8347,Free,http://www.brooklynpubliclibrary.org/
Brooklyn Public Library - Sunset Park,84,5108 4th Avenue,Brooklyn,11220,"(40.645913128000075, -74.01362854599995)",718-567-2806,Free,http://www.brooklynpubliclibrary.org/
Brooklyn Public Library - Ulmer Park,85,2602 Bath Ave,Brooklyn,11214,"(40.592653436000035, -73.98868314299995)",718-265-3443,Free,http://www.brooklynpubliclibrary.org/
Brooklyn Public Library - Walt Whitman,86,93 Saint Edwards St.,Brooklyn,11205,"(40.694491579000044, -73.97773199799991)",718-935-0244,Free,http://www.brooklynpubliclibrary.org/
Brooklyn Public Library - Washington Irving,87,360 Irving Ave.,Brooklyn,11237,"(40.697482241000046, -73.91221143899992)",718-628-8378,Free,http://www.brooklynpubliclibrary.org/
Brooklyn Public Library - Williamsburgh,88,240 Division Ave.,Brooklyn,11211,"(40.70693067600007, -73.95755485799992)",718-302-3485,Free,http://www.brooklynpubliclibrary.org/
Brooklyn Public Library - Windsor Terrace,89,160 E. 5th St.,Brooklyn,11218,"(40.648716757000045, -73.97675626499995)",718-686-9707,Free,http://www.brooklynpubliclibrary.org/
Brooklyn Museum of Art,90,200 Eastern Parkway,Brooklyn,11238,"(40.670926835000046, -73.96355466199992)",,Free,http://www.brooklynmuseum.org/visit/wireless.php
Bristens Cafe,91,525 DeKalb Avenue,Brooklyn,11205,"(40.690985700000056, -73.95589184199991)",646-393-9422,Free,http://www.yelp.com/biz/bristens-eatery-brooklyn
Cafe Sutra,92,639A 5th Ave,Brooklyn,11215,"(40.662813250000056, -73.99160885999993)",718-499-0279,Free,http://www.openwifispots.com/spot_free_wifi_wireless_hotspot_Cafe_Sutra_New_York_NY_5519.aspx
MishMash,93,1103 Kings Highway,Brooklyn,11229,"(40.60766711500008, -73.9616191959999)",718-375-5100,Free,http://www.mishmashgourmet.com
Naidre's,94,384 Seventh Avenue,Brooklyn,11215,"(40.66543357200004, -73.9830620649999)",718-965-7585,Free,http://www.naidres.com/
Polytechnic University Bern Dibner Library of Science & Technology,95,Five Metrotech Center,Brooklyn,11201,"(40.69462489400007, -73.9856263719999)",718-260-3600,Free,http://www.poly.edu/research/library
St. Francis College McGarry Library,96,180 Remsen Street,Brooklyn,11201,"(40.69306892800006, -73.99210990299991)",718-489-5201,Free,http://library.stfranciscollege.edu/
Kitty Kiernans Bar,97,9715 third avenue,Brooklyn,11209,"(40.61525506800007, -74.03413135599993)",718-921-0217,Free,http://www.kittykiernans.com/
Atlas Caf̩,98,116 Havemeyer St.,Brooklyn,11211,"(40.71299634600007, -73.95686202899992)",718-782-7470,Free,http://www.yelp.com/biz/atlas-cafe-brooklyn
Bread Stuy,99,401 Lewis Ave,Brooklyn,11233,"(40.681547280000075, -73.93460066199992)",718-771-0633,Free,http://breadstuy.com/main.html
Healthy Nibbles,101,305 Flatbush Ave,Brooklyn,11217,"(40.678743876000055, -73.97326668199992)",718-636-5835,Free,http://hotspotr.com/spot/1456
Postmark Cafe,102,326 6th street,Brooklyn,11215,"(40.67104147200007, -73.98539300099992)",718-768-2613,Free,http://www.yelp.com/biz/postmark-cafe-brooklyn
Tillies,103,248 DeKalb Avenue,Brooklyn,11205,"(40.68925260900005, -73.9692635589999)",718-783-8691,Free,http://tilliesofbrooklyn.com/
Brooklyn Lyceum coffee shop,104,225 4th Ave,Brooklyn,11215,"(40.676802431000056, -73.98303393999993)",718 857-4816,Free,http://www.superpages.com/cities/mtg/wifi-1258829/
Gorilla Coffee,105,97 Fifth Ave,Brooklyn,11217,"(40.67970554900006, -73.97800012699992)",718-230-3244,Free,http://hotspotr.com/spot
Heights Coffee,106,335 Flatbush Ave,Brooklyn,11217,"(40.67778304700005, -73.97259288499993)",718-638-1936,Free,http://www.heightscoffee.com/
Outpost Lounge,107,1014 Fulton St.,Brooklyn,11238,"(40.681896616000074, -73.96028210899993)",718-636-1260,Free,http://www.outaboutbrooklyn.com/outpost-lounge/
Tea Lounge,108,837 Union Street,Brooklyn,11215,"(40.67494846200009, -73.97603331199991)",718-768-4966,Free,http://www.yelp.com/biz/tea-lounge-brooklyn
Prospect Perk Cafe,109,183 Sterling Pl,Brooklyn,11238,"(40.676588862000074, -73.97173534099994)",718-783-7375,Free,http://www.yelp.com/biz/prospect-perk-cafe-brooklyn
Mama B's,111,351 Graham Avenue,Brooklyn,11211,"(40.714942664000034, -73.94468265499995)",718-599-8859,Free,http://newyork.timeout.com/restaurants/williamsburg/2644/mama-bs-cafe-and-juice-bar
Supercore,113,305 Bedford Avenue,Brooklyn,11211,"(40.713453704000074, -73.9617494609999)",718-302-1629,Free,http://www.yelp.com/biz/supercore-brooklyn
The Greenpoint Coffee House,114,195 Franklin Street,Brooklyn,11222,"(40.73351948100009, -73.95843277299991)",718-349-6635,Free,http://www.yelp.com/biz/greenpoint-coffee-house-brooklyn-2
The Archive,116,49 Bogart St,Brooklyn,11206,"(40.70527521200006, -73.93355667799995)",718-381-1944,Free,http://www.yelp.com/biz/the-archive-cafe-brooklyn
Lucky Cat,117,245 Grand Street,Brooklyn,11211,"(40.71368872100004, -73.95875896399991)",718-782-0437,Free,http://www.yelp.com/biz/the-lucky-cat-brooklyn
Southside Caffe,120,229 S 4th Street,Brooklyn,11211,"(40.71059818200007, -73.9589340149999)",718-388-4642,Free,http://www.blockmagazine.com/block_stock_barrel.php?title=lstronggcaught_in_the_wireless_webl_stro&more=1&c=1&tb=1&pb=1
Tavern on Nostrand,1214,813 Nostrand Avenue,Brooklyn,11225,"(40.66871938400004, -73.95033637699993)",,Free,http://www.wififreespot.com/ny.html
Tea Lounge,1224,254 Court Street,Brooklyn,11231,"(40.685304905000066, -73.99478634399992)",,Free,http://www.wififreespot.com/ny.html
Coffee Den,1254,144 Union Street,Brooklyn,11231,"(40.68383485900006, -74.00186003399995)",,Free,http://www.wififreespot.com/ny.html
Crest Caf̩,1255,463 Union Avenue,Brooklyn,11211,"(40.71432482800009, -73.95167758299993)",,Free,http://www.wififreespot.com/ny.html
Lindenwood diner,1260,2870 Linden Boulevard,Brooklyn,11208,"(40.66979990500005, -73.85748230799993)",,Free,http://www.lindenwooddiner.com/reviews.html
Saje Caf̩,1261,710 Franklin Avenue,Brooklyn,11238,"(40.67448955200007, -73.95677135599993)",,Free,http://www.wififreespot.com/ny.html
The Mark Bar,1262,1025 Manhattan Avenue,Brooklyn,11222,"(40.733968366000056, -73.95513064499994)",,Free,http://www.wififreespot.com/ny.html
