Facility Type,license,legalName,brand,location,streetAddress,addressLocality,postalCode,telephone,Number of Spaces,loc,longitude,latitude,entityTitle,@context,@type,@id
Parking Garage,429675,INTERTOWN PARKING   CORP,,"55 END AVENUE
NEW YORK, NY 10028
",55 END AVENUE,NEW YORK,10028,2127367171,90,"[-74.17870866360286,40.56354984156167]",-74.17870866360286,40.56354984156167,intertown_parking_corp_429675,http://schema.org,ParkingFacility,http://nyc.pediacities.com/resource/ParkingFacility/intertown_parking_corp_429675
Parking Garage,429678,ABILITY PARKING CORP,,"200 END AVENUE
NEW YORK, NY 10128
",200 END AVENUE,NEW YORK,10128,2122493344,41,"[-73.95062814906976,40.781770000585084]",-73.95062814906976,40.781770000585084,ability_parking_corp_429678,http://schema.org,ParkingFacility,http://nyc.pediacities.com/resource/ParkingFacility/ability_parking_corp_429678
Parking Garage,697253,DIRECT PARKING LLC,DIRECT PARKING LLC,"51 56 STREET
NEW YORK, NY 10019
",51 56 STREET,NEW YORK,10019,2126869800,140,"[-73.97608876762429,40.763002812092736]",-73.97608876762429,40.763002812092736,direct_parking_llc_697253,http://schema.org,ParkingFacility,http://nyc.pediacities.com/resource/ParkingFacility/direct_parking_llc_697253
Parking Garage,731368,JO-DASH PARKING LLC,,"488 504 3 AVENUE
NEW YORK, NY 10016
",488 504 3 AVENUE,NEW YORK,10016,2126869800,55,"[-73.97823298586354,40.745242969987146]",-73.97823298586354,40.745242969987146,jo_dash_parking_llc_731368,http://schema.org,ParkingFacility,http://nyc.pediacities.com/resource/ParkingFacility/jo_dash_parking_llc_731368
Parking Garage,736268,PLAZA GARAGE CORP,GGMC,"1751 1763 2 AVENUE
NEW YORK, NY 10128
",1751 1763 2 AVENUE,NEW YORK,10128,2129966363,104,"[-73.95062814906976,40.781770000585084]",-73.95062814906976,40.781770000585084,plaza_garage_corp_736268,http://schema.org,ParkingFacility,http://nyc.pediacities.com/resource/ParkingFacility/plaza_garage_corp_736268
Parking Garage,760802,MERIT PARKING LLC,,"39429 107 STREET
NEW YORK, NY 10029
",39429 107 STREET,NEW YORK,10029,2126869800,1000,"[-73.94403228106489,40.79161072055837]",-73.94403228106489,40.79161072055837,merit_parking_llc_760802,http://schema.org,ParkingFacility,http://nyc.pediacities.com/resource/ParkingFacility/merit_parking_llc_760802
Parking Garage,780839,PRIMARY PARKING LLC,,"721 10 AVENUE
NEW YORK, NY 10019
",721 10 AVENUE,NEW YORK,10019,2126869800,181,"[-73.99213661656152,40.764276435768046]",-73.99213661656152,40.764276435768046,primary_parking_llc_780839,http://schema.org,ParkingFacility,http://nyc.pediacities.com/resource/ParkingFacility/primary_parking_llc_780839
Parking Garage,832475,IVY LEAGUE APT CORP,,"675 ACADEMY STREET
NEW YORK, NY 10034
",675 ACADEMY STREET,NEW YORK,10034,7186277177,15,"[-73.92537444351666,40.86690425428702]",-73.92537444351666,40.86690425428702,ivy_league_apt_corp_832475,http://schema.org,ParkingFacility,http://nyc.pediacities.com/resource/ParkingFacility/ivy_league_apt_corp_832475
Parking Garage,851982,132 WEST 56TH ST GARAGE CORP,,"156 56 STREET
NEW YORK, NY 10019
",156 56 STREET,NEW YORK,10019,2128887400,105,"[-73.97958862087043,40.76441652097977]",-73.97958862087043,40.76441652097977,132_west_56th_st_garage_corp_851982,http://schema.org,ParkingFacility,http://nyc.pediacities.com/resource/ParkingFacility/132_west_56th_st_garage_corp_851982
Parking Garage,855640,ASTRO PARKING LLC,,"155 70 STREET
NEW YORK, NY 10023
",155 70 STREET,NEW YORK,10023,2126869800,43,"[-73.98173495509286,40.77694507169616]",-73.98173495509286,40.77694507169616,astro_parking_llc_855640,http://schema.org,ParkingFacility,http://nyc.pediacities.com/resource/ParkingFacility/astro_parking_llc_855640
Parking Garage,886174,AMBRO OPERATING CORP,,"70 20 108 STREET
FOREST HILLS, NY 11375
",70 20 108 STREET,FOREST HILLS,11375,2127511080,127,"[-73.84628429608335,40.720707263029794]",-73.84628429608335,40.720707263029794,ambro_operating_corp_886174,http://schema.org,ParkingFacility,http://nyc.pediacities.com/resource/ParkingFacility/ambro_operating_corp_886174
Parking Garage,889309,FLUSHING CENTER INC,,"135 20 39 AVENUE
QUEENS, NY 11354
",135 20 39 AVENUE,QUEENS,11354,7184606666,178,"[-73.82719028070687,40.76862022064671]",-73.82719028070687,40.76862022064671,flushing_center_inc_889309,http://schema.org,ParkingFacility,http://nyc.pediacities.com/resource/ParkingFacility/flushing_center_inc_889309
Parking Garage,891228,"HOLY, MIRA M",,"848 LORIMER STREET
BROOKLYN, NY 11222
",848 LORIMER STREET,BROOKLYN,11222,7183896510,25,"[-73.95083676383737,40.72213810055406]",-73.95083676383737,40.72213810055406,holy_mira_m_891228,http://schema.org,ParkingFacility,http://nyc.pediacities.com/resource/ParkingFacility/holy_mira_m_891228
Parking Garage,898077,KINNEY SYSTEM INC,KINNEY SYSTEM,"3414 WAYNE AVENUE
BRONX, NY 10467
",3414 WAYNE AVENUE,BRONX,10467,2128894444,662,"[-73.87793647144666,40.87960951916951]",-73.87793647144666,40.87960951916951,kinney_system_inc_898077,http://schema.org,ParkingFacility,http://nyc.pediacities.com/resource/ParkingFacility/kinney_system_inc_898077
Parking Garage,900505,CHIVIAN GARAGE CORP,,"101 12 STREET
NEW YORK, NY 10011
",101 12 STREET,NEW YORK,10011,2129562280,98,"[-73.99811160924645,40.73616081766738]",-73.99811160924645,40.73616081766738,chivian_garage_corp_900505,http://schema.org,ParkingFacility,http://nyc.pediacities.com/resource/ParkingFacility/chivian_garage_corp_900505
Parking Garage,901088,LTG PARKING CORP,,"150 END AVENUE
NEW YORK, NY 10023
",150 END AVENUE,NEW YORK,10023,2129999999,163,"[-74.17874327846428,40.56335269915866]",-74.17874327846428,40.56335269915866,ltg_parking_corp_901088,http://schema.org,ParkingFacility,http://nyc.pediacities.com/resource/ParkingFacility/ltg_parking_corp_901088
Parking Garage,901963,GRACIE PUBLIC   PARKING CORP,,"401 89 STREET
NEW YORK, NY 10128
",401 89 STREET,NEW YORK,10128,2127367171,114,"[-73.94749776543745,40.77860881745033]",-73.94749776543745,40.77860881745033,gracie_public_parking_corp_901963,http://schema.org,ParkingFacility,http://nyc.pediacities.com/resource/ParkingFacility/gracie_public_parking_corp_901963
Parking Garage,906639,NEW WEST MANAGEMENT CORP,,"1810 LORING PLACE
BRONX, NY 10453
",1810 LORING PLACE,BRONX,10453,2125416050,65,"[-73.9161976121963,40.852149806977266]",-73.9161976121963,40.852149806977266,new_west_management_corp_906639,http://schema.org,ParkingFacility,http://nyc.pediacities.com/resource/ParkingFacility/new_west_management_corp_906639
Parking Garage,912191,334 PARKING CORP,334 PARKING,"302 96 STREET
NEW YORK, NY 10128
",302 96 STREET,NEW YORK,10128,2128661000,90,"[-73.94657146374726,40.78402273606673]",-73.94657146374726,40.78402273606673,334_parking_corp_912191,http://schema.org,ParkingFacility,http://nyc.pediacities.com/resource/ParkingFacility/334_parking_corp_912191
Parking Garage,919699,AERO PARKING CORP,RAPID PARKING INDUSTRIES,"10 30 STREET
NEW YORK, NY 10016
",10 30 STREET,NEW YORK,10016,2128661000,200,"[-73.98559304659858,40.745567726093896]",-73.98559304659858,40.745567726093896,aero_parking_corp_919699,http://schema.org,ParkingFacility,http://nyc.pediacities.com/resource/ParkingFacility/aero_parking_corp_919699
Parking Garage,926039,"SAM PARKING, L.L.C.",,"360 BROADWAY
NEW YORK, NY 10013
",360 BROADWAY,NEW YORK,10013,2129666774,180,"[-74.00366042616719,40.717275055052085]",-74.00366042616719,40.717275055052085,sam_parking_l_l_c_926039,http://schema.org,ParkingFacility,http://nyc.pediacities.com/resource/ParkingFacility/sam_parking_l_l_c_926039
Parking Garage,929734,"GUIDO, FRANK G",,"117 CARROLL STREET
BROOKLYN, NY 11231
",117 CARROLL STREET,BROOKLYN,11231,7188522325,23,"[-74.00127738205892,40.682415671759536]",-74.00127738205892,40.682415671759536,guido_frank_g_929734,http://schema.org,ParkingFacility,http://nyc.pediacities.com/resource/ParkingFacility/guido_frank_g_929734
Parking Garage,941633,60TH STORAGE CORP,,"220 60 STREET
NEW YORK, NY 10022
",220 60 STREET,NEW YORK,10022,2127373279,32,"[-73.96586195991524,40.76203415001111]",-73.96586195991524,40.76203415001111,60th_storage_corp_941633,http://schema.org,ParkingFacility,http://nyc.pediacities.com/resource/ParkingFacility/60th_storage_corp_941633
Parking Garage,954109,KINNEY WEST 83RD STREET INC.,,"147 83 STREET
NEW YORK, NY 10024
",147 83 STREET,NEW YORK,10024,2128894444,182,"[-73.97516091105871,40.78519185470486]",-73.97516091105871,40.78519185470486,kinney_west_83rd_street_inc_954109,http://schema.org,ParkingFacility,http://nyc.pediacities.com/resource/ParkingFacility/kinney_west_83rd_street_inc_954109
Parking Garage,959355,"DUFORD STUDIO GARAGE COMPANY, L.L.C.",,"127 83 STREET
NEW YORK, NY 10028
",127 83 STREET,NEW YORK,10028,2128887400,200,"[-73.95740829420032,40.77771848864137]",-73.95740829420032,40.77771848864137,duford_studio_garage_company_l_l_c_959355,http://schema.org,ParkingFacility,http://nyc.pediacities.com/resource/ParkingFacility/duford_studio_garage_company_l_l_c_959355
Parking Garage,962008,CENTRAL PARKING SYSTEM OF NEW YORK INC,,"808 820 7 AVENUE
NEW YORK, NY 10019
",808 820 7 AVENUE,NEW YORK,10019,2126296602,210,"[-73.99180550022362,40.76761164715987]",-73.99180550022362,40.76761164715987,central_parking_system_of_new_york_inc_962008,http://schema.org,ParkingFacility,http://nyc.pediacities.com/resource/ParkingFacility/central_parking_system_of_new_york_inc_962008
Parking Garage,975588,ZOOM CAR PARK INC,,"3130 GRAND
BRONX, NY 10458
",3130 GRAND,BRONX,10458,2122216111,95,"[-73.88479001504714,40.86260132868841]",-73.88479001504714,40.86260132868841,zoom_car_park_inc_975588,http://schema.org,ParkingFacility,http://nyc.pediacities.com/resource/ParkingFacility/zoom_car_park_inc_975588
Parking Garage,976183,EVER-READY PARKING INC,,"330 46 STREET
NEW YORK, NY 10017
",330 46 STREET,NEW YORK,10017,2127367171,155,"[-73.96960647464563,40.75202826321289]",-73.96960647464563,40.75202826321289,ever_ready_parking_inc_976183,http://schema.org,ParkingFacility,http://nyc.pediacities.com/resource/ParkingFacility/ever_ready_parking_inc_976183
Parking Garage,976184,IMPERIAL HOUSE PARKING LLC,,"150 69 STREET
NEW YORK, NY 10021
",150 69 STREET,NEW YORK,10021,2127142442,139,"[-73.96312879160654,40.76825175409718]",-73.96312879160654,40.76825175409718,imperial_house_parking_llc_976184,http://schema.org,ParkingFacility,http://nyc.pediacities.com/resource/ParkingFacility/imperial_house_parking_llc_976184
Parking Garage,980798,BEST GARAGE CORP,,"105 25 GERARD PLACE
FOREST HILL, NY 11375
",105 25 GERARD PLACE,FOREST HILL,11375,2127367171,89,"[-73.84628429608335,40.720707263029794]",-73.84628429608335,40.720707263029794,best_garage_corp_980798,http://schema.org,ParkingFacility,http://nyc.pediacities.com/resource/ParkingFacility/best_garage_corp_980798
Parking Garage,999760,5060 AUTO SERVICE INC,,"4036 10 AVENUE
NEW YORK, NY 10034
",4036 10 AVENUE,NEW YORK,10034,2125679504,70,"[-73.91510731195625,40.869825776029636]",-73.91510731195625,40.869825776029636,5060_auto_service_inc_999760,http://schema.org,ParkingFacility,http://nyc.pediacities.com/resource/ParkingFacility/5060_auto_service_inc_999760
Parking Garage,1005180,157 57TH THIRD CORP,,"952 3 AVENUE
NEW YORK, NY 10022
",952 3 AVENUE,NEW YORK,10022,2123558962,83,"[-73.96766788937983,40.76013363187021]",-73.96766788937983,40.76013363187021,157_57th_third_corp_1005180,http://schema.org,ParkingFacility,http://nyc.pediacities.com/resource/ParkingFacility/157_57th_third_corp_1005180
Parking Garage,1010039,300 PARKING INC,,"300 55 STREET
NEW YORK, NY 10019
",300 55 STREET,NEW YORK,10019,2127367171,92,"[-73.98393298423655,40.76543669712509]",-73.98393298423655,40.76543669712509,300_parking_inc_1010039,http://schema.org,ParkingFacility,http://nyc.pediacities.com/resource/ParkingFacility/300_parking_inc_1010039
Parking Garage,1018977,S.D. BARRON LLC,,"85 4 AVENUE
NEW YORK, NY 10003
",85 4 AVENUE,NEW YORK,10003,2123758455,48,"[-73.99023084778766,40.7317110463489]",-73.99023084778766,40.7317110463489,s_d_barron_llc_1018977,http://schema.org,ParkingFacility,http://nyc.pediacities.com/resource/ParkingFacility/s_d_barron_llc_1018977
Parking Garage,1023251,HUDSON RIVER PARKING CORP,,"3720 HENRY HUDSON PARKWAY
BRONX, NY 10463
",3720 HENRY HUDSON PARKWAY,BRONX,10463,2127367171,123,"[-73.91021665234491,40.88834071464783]",-73.91021665234491,40.88834071464783,hudson_river_parking_corp_1023251,http://schema.org,ParkingFacility,http://nyc.pediacities.com/resource/ParkingFacility/hudson_river_parking_corp_1023251
Garage - Parking Lot Combo,1199450,"215 EAST 95TH PARKING, LLC",,"201 205 EAST 95 STREET
NEW YORK, NY 10128
",201 205 EAST 95 STREET,NEW YORK,10128,2126869800,108,"[-73.95062814906976,40.781770000585084]",-73.95062814906976,40.781770000585084,215_east_95th_parking_llc_1199450,http://schema.org,ParkingFacility,http://nyc.pediacities.com/resource/ParkingFacility/215_east_95th_parking_llc_1199450
Garage - Parking Lot Combo,1228876,"LAZ PARKING OF NEW YORK/NEW JERSEY, INC",,"80 20 COOPER AVENUE
QUEENS, NY 11385
",80 20 COOPER AVENUE,QUEENS,11385,2122652239,660,"[-73.88334858436963,40.70122489161548]",-73.88334858436963,40.70122489161548,laz_parking_of_new_york_new_jersey_inc_1228876,http://schema.org,ParkingFacility,http://nyc.pediacities.com/resource/ParkingFacility/laz_parking_of_new_york_new_jersey_inc_1228876
Garage - Parking Lot Combo,1241026,"C&S E-SUPERETTE, INC",,"9053 9057 FORT HAMILTON PARKWAY
BROOKLYN, NY 11231
",9053 9057 FORT HAMILTON PARKWAY,BROOKLYN,11231,9172085555,15,"[-74.00467670436637,40.6775543117821]",-74.00467670436637,40.6775543117821,c_s_e_superette_inc_1241026,http://schema.org,ParkingFacility,http://nyc.pediacities.com/resource/ParkingFacility/c_s_e_superette_inc_1241026
Garage - Parking Lot Combo,1337218,PARK RIGHT CORP,,"39 29 STREET
NEW YORK, NY 10016
",39 29 STREET,NEW YORK,10016,2122624771,30,"[-73.98429802287637,40.744227736270204]",-73.98429802287637,40.744227736270204,park_right_corp_1337218,http://schema.org,ParkingFacility,http://nyc.pediacities.com/resource/ParkingFacility/park_right_corp_1337218
Parking Garage,365792,CARMEL GARAGE INC,,"68 61 YELLOWSTONE BOULEVARD
FOREST HILLS, NY 11375
",68 61 YELLOWSTONE BOULEVARD,FOREST HILLS,11375,2127511080,80,"[-73.84628429608335,40.720707263029794]",-73.84628429608335,40.720707263029794,carmel_garage_inc_365792,http://schema.org,ParkingFacility,http://nyc.pediacities.com/resource/ParkingFacility/carmel_garage_inc_365792
Parking Garage,367147,"WOLF, RAYMOND ET AL",25-27 BEEKMAN ST    ASSOCIATES,"25 BEEKMAN STREET
NEW YORK, NY 10038
",25 BEEKMAN STREET,NEW YORK,10038,2128661000,149,"[-74.00608072310474,40.710815986920856]",-74.00608072310474,40.710815986920856,wolf_raymond_et_al_367147,http://schema.org,ParkingFacility,http://nyc.pediacities.com/resource/ParkingFacility/wolf_raymond_et_al_367147
Parking Garage,367816,PARK-SERV LLC,,"140 166 WEST 53 STREET
NEW YORK, NY 10019
",140 166 WEST 53 STREET,NEW YORK,10019,2126869800,260,"[-73.99180550022362,40.76761164715987]",-73.99180550022362,40.76761164715987,park_serv_llc_367816,http://schema.org,ParkingFacility,http://nyc.pediacities.com/resource/ParkingFacility/park_serv_llc_367816
Parking Garage,367984,DISTINCTIVE PARKING LLC,DISTINCTIVE LLC,"35 39 EAST 61 STREET
NEW YORK, NY 10021
",35 39 EAST 61 STREET,NEW YORK,10021,2126869800,129,"[-73.959183941086,40.76920532766377]",-73.959183941086,40.76920532766377,distinctive_parking_llc_367984,http://schema.org,ParkingFacility,http://nyc.pediacities.com/resource/ParkingFacility/distinctive_parking_llc_367984
Parking Garage,368099,FISHER 40TH & 3RD CO & HAWAIIAN REALTY INC,,"222 40 STREET
NEW YORK, NY 10016
",222 40 STREET,NEW YORK,10016,2127525000,750,"[-73.974515725625,40.749076858835046]",-73.974515725625,40.749076858835046,fisher_40th_3rd_co_hawaiian_realty_inc_368099,http://schema.org,ParkingFacility,http://nyc.pediacities.com/resource/ParkingFacility/fisher_40th_3rd_co_hawaiian_realty_inc_368099
Parking Garage,368219,CIRCLE PARKING LLC,,"200 52 STREET
NEW YORK, NY 10019
",200 52 STREET,NEW YORK,10019,2126869800,440,"[-73.98330461403184,40.762709985251874]",-73.98330461403184,40.762709985251874,circle_parking_llc_368219,http://schema.org,ParkingFacility,http://nyc.pediacities.com/resource/ParkingFacility/circle_parking_llc_368219
Parking Garage,368506,GEMA PARKING CORP,,"333 14 STREET
NEW YORK, NY 10003
",333 14 STREET,NEW YORK,10003,2124774043,44,"[-73.98336272796593,40.73169118718175]",-73.98336272796593,40.73169118718175,gema_parking_corp_368506,http://schema.org,ParkingFacility,http://nyc.pediacities.com/resource/ParkingFacility/gema_parking_corp_368506
Parking Garage,368546,CREATIVE PARKING LLC,,"16 16 STREET
NEW YORK, NY 10011
",16 16 STREET,NEW YORK,10011,2126869800,99,"[-73.99320081806698,40.73751641877203]",-73.99320081806698,40.73751641877203,creative_parking_llc_368546,http://schema.org,ParkingFacility,http://nyc.pediacities.com/resource/ParkingFacility/creative_parking_llc_368546
Parking Garage,368910,CHATHAM PARKING SYSTEMS INC,,"180 PARK ROW
NEW YORK, NY 10038
",180 PARK ROW,NEW YORK,10038,2125137143,130,"[-74.00120830365637,40.713022481601165]",-74.00120830365637,40.713022481601165,chatham_parking_systems_inc_368910,http://schema.org,ParkingFacility,http://nyc.pediacities.com/resource/ParkingFacility/chatham_parking_systems_inc_368910
Parking Garage,369373,JO-MEG GARAGE CORP,80 CENTRAL PARK W GARAGE,"80 CENTRAL PARK
NEW YORK, NY 10023
",80 CENTRAL PARK,NEW YORK,10023,2129562280,83,"[-73.97770599240164,40.773833417474805]",-73.97770599240164,40.773833417474805,jo_meg_garage_corp_369373,http://schema.org,ParkingFacility,http://nyc.pediacities.com/resource/ParkingFacility/jo_meg_garage_corp_369373
Parking Garage,427125,ADVANCE PARKING LLC,,"249 43 STREET
NEW YORK, NY 10036
",249 43 STREET,NEW YORK,10036,2126869800,225,"[-73.9884079245503,40.75751971586328]",-73.9884079245503,40.75751971586328,advance_parking_llc_427125,http://schema.org,ParkingFacility,http://nyc.pediacities.com/resource/ParkingFacility/advance_parking_llc_427125
Parking Garage,427562,THE HERTZ CORP,,"21O 77 STREET
NEW YORK, NY 10024
",21O 77 STREET,NEW YORK,10024,2124865919,250,"[-73.97488576287084,40.78005843266174]",-73.97488576287084,40.78005843266174,the_hertz_corp_427562,http://schema.org,ParkingFacility,http://nyc.pediacities.com/resource/ParkingFacility/the_hertz_corp_427562
Parking Garage,428302,MANHATTAN PARKING SYSTEM SERVICE CORP,,"220 MADISON AVENUE
NEW YORK, NY 10016
",220 MADISON AVENUE,NEW YORK,10016,2127536116,45,"[-73.98171696865228,40.749497763361944]",-73.98171696865228,40.749497763361944,manhattan_parking_system_service_corp_428302,http://schema.org,ParkingFacility,http://nyc.pediacities.com/resource/ParkingFacility/manhattan_parking_system_service_corp_428302
Parking Garage,429352,APPLE WEST 11TH STREET GARAGE CORP,,"332 11 STREET
NEW YORK, NY 10014
",332 11 STREET,NEW YORK,10014,2122292553,150,"[-74.00769838207879,40.735594244788956]",-74.00769838207879,40.735594244788956,apple_west_11th_street_garage_corp_429352,http://schema.org,ParkingFacility,http://nyc.pediacities.com/resource/ParkingFacility/apple_west_11th_street_garage_corp_429352
Parking Garage,429682,"WOFL, RAYMOND ET AL",148 EAST 33RD ST    ASSOCIATES,"148 33 STREET
NEW YORK, NY 10016
",148 33 STREET,NEW YORK,10016,2128661000,149,"[-73.97956758900227,40.745459807450345]",-73.97956758900227,40.745459807450345,wofl_raymond_et_al_429682,http://schema.org,ParkingFacility,http://nyc.pediacities.com/resource/ParkingFacility/wofl_raymond_et_al_429682
Parking Garage,469165,GEMINI GARAGE CORP,50 SUTTON PLACE SO GARAGE,"50 SUTTON PLACE
NEW YORK, NY 10022
",50 SUTTON PLACE,NEW YORK,10022,2129562280,76,"[-73.96185094502505,40.75573006502498]",-73.96185094502505,40.75573006502498,gemini_garage_corp_469165,http://schema.org,ParkingFacility,http://nyc.pediacities.com/resource/ParkingFacility/gemini_garage_corp_469165
Parking Garage,469348,GEMAT PARKING CORP,,"233 69 STREET
NEW YORK, NY 10021
",233 69 STREET,NEW YORK,10021,2125359302,53,"[-73.96011525350849,40.766998570052124]",-73.96011525350849,40.766998570052124,gemat_parking_corp_469348,http://schema.org,ParkingFacility,http://nyc.pediacities.com/resource/ParkingFacility/gemat_parking_corp_469348
Parking Garage,692569,RIVERBAY CORP,,"99 DREISER LOOP
BRONX, NY 10475
",99 DREISER LOOP,BRONX,10475,7183203326,1361,"[-73.82821547009931,40.87834746282968]",-73.82821547009931,40.87834746282968,riverbay_corp_692569,http://schema.org,ParkingFacility,http://nyc.pediacities.com/resource/ParkingFacility/riverbay_corp_692569
Parking Garage,692570,RIVERBAY CORP,,"99 CARVER LOOP
BRONX, NY 10475
",99 CARVER LOOP,BRONX,10475,7183203326,1361,"[-73.82473898243039,40.87768366524428]",-73.82473898243039,40.87768366524428,riverbay_corp_692570,http://schema.org,ParkingFacility,http://nyc.pediacities.com/resource/ParkingFacility/riverbay_corp_692570
Parking Garage,692572,RIVERBAY CORP,,"99 BELLAMY LOOP
BRONX, NY 10475
",99 BELLAMY LOOP,BRONX,10475,7183203326,1361,"[-73.82649086537073,40.87295205861112]",-73.82649086537073,40.87295205861112,riverbay_corp_692572,http://schema.org,ParkingFacility,http://nyc.pediacities.com/resource/ParkingFacility/riverbay_corp_692572
Parking Garage,692573,RIVERBAY CORP,,"999 CO-OP CITY BOULEVARD
BRONX, NY 10475
",999 CO-OP CITY BOULEVARD,BRONX,10475,7183203326,1311,"[-73.82706856556183,40.874142343794176]",-73.82706856556183,40.874142343794176,riverbay_corp_692573,http://schema.org,ParkingFacility,http://nyc.pediacities.com/resource/ParkingFacility/riverbay_corp_692573
Parking Garage,695802,RIVERBAY CORP,,"99 ERSKINE PL
BRONX, NY 10475
",99 ERSKINE PL,BRONX,10475,7183203326,1361,"[-73.82146355720171,40.86133866811006]",-73.82146355720171,40.86133866811006,riverbay_corp_695802,http://schema.org,ParkingFacility,http://nyc.pediacities.com/resource/ParkingFacility/riverbay_corp_695802
Parking Garage,699003,T CARDINAL COOKE HEALTH CARE CENTER,,"1560 68 MADISON AVENUE
NEW YORK, NY 10029
",1560 68 MADISON AVENUE,NEW YORK,10029,2123603600,350,"[-73.94403228106489,40.79161072055837]",-73.94403228106489,40.79161072055837,t_cardinal_cooke_health_care_center_699003,http://schema.org,ParkingFacility,http://nyc.pediacities.com/resource/ParkingFacility/t_cardinal_cooke_health_care_center_699003
Parking Garage,761016,64TH WEST END PARKING LLC,,"110 END AVENUE
NEW YORK, NY 10023
",110 END AVENUE,NEW YORK,10023,2126869800,106,"[-74.1787588373252,40.56343271615765]",-74.1787588373252,40.56343271615765,64th_west_end_parking_llc_761016,http://schema.org,ParkingFacility,http://nyc.pediacities.com/resource/ParkingFacility/64th_west_end_parking_llc_761016
Parking Garage,761544,BV GARAGE CORP,GGMC,"245 54 STREET
NEW YORK, NY 10022
",245 54 STREET,NEW YORK,10022,2129966363,178,"[-73.96790761267764,40.75791308655647]",-73.96790761267764,40.75791308655647,bv_garage_corp_761544,http://schema.org,ParkingFacility,http://nyc.pediacities.com/resource/ParkingFacility/bv_garage_corp_761544
