"","Facility.Type","license","legalName","brand","location","streetAddress","addressLocality","postalCode","telephone","Number.of.Spaces","loc","longitude","latitude","entityTitle","X.context","X.type","X.id"
"49","Garage - Parking Lot Combo",1337218,"PARK RIGHT CORP","","39 29 STREET
NEW YORK, NY 10016
","39 29 STREET","NEW YORK","10016","2122624771",30,"[-73.98429802287637,40.744227736270204]",-73.9843,40.74423,"park_right_corp_1337218","http://schema.org","ParkingFacility","http://nyc.pediacities.com/resource/ParkingFacility/park_right_corp_1337218"
"50","Parking Garage",365792,"CARMEL GARAGE INC","","68 61 YELLOWSTONE BOULEVARD
FOREST HILLS, NY 11375
","68 61 YELLOWSTONE BOULEVARD","FOREST HILLS","11375","2127511080",80,"[-73.84628429608335,40.720707263029794]",-73.84628,40.72071,"carmel_garage_inc_365792","http://schema.org","ParkingFacility","http://nyc.pediacities.com/resource/ParkingFacility/carmel_garage_inc_365792"
"51","Parking Garage",367147,"WOLF, RAYMOND ET AL","25-27 BEEKMAN ST    ASSOCIATES","25 BEEKMAN STREET
NEW YORK, NY 10038
","25 BEEKMAN STREET","NEW YORK","10038","2128661000",149,"[-74.00608072310474,40.710815986920856]",-74.00608,40.71082,"wolf_raymond_et_al_367147","http://schema.org","ParkingFacility","http://nyc.pediacities.com/resource/ParkingFacility/wolf_raymond_et_al_367147"
"52","Parking Garage",367816,"PARK-SERV LLC","","140 166 WEST 53 STREET
NEW YORK, NY 10019
","140 166 WEST 53 STREET","NEW YORK","10019","2126869800",260,"[-73.99180550022362,40.76761164715987]",-73.99181,40.76761,"park_serv_llc_367816","http://schema.org","ParkingFacility","http://nyc.pediacities.com/resource/ParkingFacility/park_serv_llc_367816"
"53","Parking Garage",367984,"DISTINCTIVE PARKING LLC","DISTINCTIVE LLC","35 39 EAST 61 STREET
NEW YORK, NY 10021
","35 39 EAST 61 STREET","NEW YORK","10021","2126869800",129,"[-73.959183941086,40.76920532766377]",-73.95918,40.76921,"distinctive_parking_llc_367984","http://schema.org","ParkingFacility","http://nyc.pediacities.com/resource/ParkingFacility/distinctive_parking_llc_367984"
"54","Parking Garage",368099,"FISHER 40TH & 3RD CO & HAWAIIAN REALTY INC","","222 40 STREET
NEW YORK, NY 10016
","222 40 STREET","NEW YORK","10016","2127525000",750,"[-73.974515725625,40.749076858835046]",-73.97452,40.74908,"fisher_40th_3rd_co_hawaiian_realty_inc_368099","http://schema.org","ParkingFacility","http://nyc.pediacities.com/resource/ParkingFacility/fisher_40th_3rd_co_hawaiian_realty_inc_368099"
"55","Parking Garage",368219,"CIRCLE PARKING LLC","","200 52 STREET
NEW YORK, NY 10019
","200 52 STREET","NEW YORK","10019","2126869800",440,"[-73.98330461403184,40.762709985251874]",-73.9833,40.76271,"circle_parking_llc_368219","http://schema.org","ParkingFacility","http://nyc.pediacities.com/resource/ParkingFacility/circle_parking_llc_368219"
"56","Parking Garage",368506,"GEMA PARKING CORP","","333 14 STREET
NEW YORK, NY 10003
","333 14 STREET","NEW YORK","10003","2124774043",44,"[-73.98336272796593,40.73169118718175]",-73.98336,40.73169,"gema_parking_corp_368506","http://schema.org","ParkingFacility","http://nyc.pediacities.com/resource/ParkingFacility/gema_parking_corp_368506"
"57","Parking Garage",368546,"CREATIVE PARKING LLC","","16 16 STREET
NEW YORK, NY 10011
","16 16 STREET","NEW YORK","10011","2126869800",99,"[-73.99320081806698,40.73751641877203]",-73.9932,40.73752,"creative_parking_llc_368546","http://schema.org","ParkingFacility","http://nyc.pediacities.com/resource/ParkingFacility/creative_parking_llc_368546"
"58","Parking Garage",368910,"CHATHAM PARKING SYSTEMS INC","","180 PARK ROW
NEW YORK, NY 10038
","180 PARK ROW","NEW YORK","10038","2125137143",130,"[-74.00120830365637,40.713022481601165]",-74.00121,40.71302,"chatham_parking_systems_inc_368910","http://schema.org","ParkingFacility","http://nyc.pediacities.com/resource/ParkingFacility/chatham_parking_systems_inc_368910"
"59","Parking Garage",369373,"JO-MEG GARAGE CORP","80 CENTRAL PARK W GARAGE","80 CENTRAL PARK
NEW YORK, NY 10023
","80 CENTRAL PARK","NEW YORK","10023","2129562280",83,"[-73.97770599240164,40.773833417474805]",-73.97771,40.77383,"jo_meg_garage_corp_369373","http://schema.org","ParkingFacility","http://nyc.pediacities.com/resource/ParkingFacility/jo_meg_garage_corp_369373"
"60","Parking Garage",427125,"ADVANCE PARKING LLC","","249 43 STREET
NEW YORK, NY 10036
","249 43 STREET","NEW YORK","10036","2126869800",225,"[-73.9884079245503,40.75751971586328]",-73.98841,40.75752,"advance_parking_llc_427125","http://schema.org","ParkingFacility","http://nyc.pediacities.com/resource/ParkingFacility/advance_parking_llc_427125"
"61","Parking Garage",427562,"THE HERTZ CORP","","21O 77 STREET
NEW YORK, NY 10024
","21O 77 STREET","NEW YORK","10024","2124865919",250,"[-73.97488576287084,40.78005843266174]",-73.97489,40.78006,"the_hertz_corp_427562","http://schema.org","ParkingFacility","http://nyc.pediacities.com/resource/ParkingFacility/the_hertz_corp_427562"
"62","Parking Garage",428302,"MANHATTAN PARKING SYSTEM SERVICE CORP","","220 MADISON AVENUE
NEW YORK, NY 10016
","220 MADISON AVENUE","NEW YORK","10016","2127536116",45,"[-73.98171696865228,40.749497763361944]",-73.98172,40.7495,"manhattan_parking_system_service_corp_428302","http://schema.org","ParkingFacility","http://nyc.pediacities.com/resource/ParkingFacility/manhattan_parking_system_service_corp_428302"
"63","Parking Garage",429352,"APPLE WEST 11TH STREET GARAGE CORP","","332 11 STREET
NEW YORK, NY 10014
","332 11 STREET","NEW YORK","10014","2122292553",150,"[-74.00769838207879,40.735594244788956]",-74.0077,40.73559,"apple_west_11th_street_garage_corp_429352","http://schema.org","ParkingFacility","http://nyc.pediacities.com/resource/ParkingFacility/apple_west_11th_street_garage_corp_429352"
"64","Parking Garage",429682,"WOFL, RAYMOND ET AL","148 EAST 33RD ST    ASSOCIATES","148 33 STREET
NEW YORK, NY 10016
","148 33 STREET","NEW YORK","10016","2128661000",149,"[-73.97956758900227,40.745459807450345]",-73.97957,40.74546,"wofl_raymond_et_al_429682","http://schema.org","ParkingFacility","http://nyc.pediacities.com/resource/ParkingFacility/wofl_raymond_et_al_429682"
"65","Parking Garage",469165,"GEMINI GARAGE CORP","50 SUTTON PLACE SO GARAGE","50 SUTTON PLACE
NEW YORK, NY 10022
","50 SUTTON PLACE","NEW YORK","10022","2129562280",76,"[-73.96185094502505,40.75573006502498]",-73.96185,40.75573,"gemini_garage_corp_469165","http://schema.org","ParkingFacility","http://nyc.pediacities.com/resource/ParkingFacility/gemini_garage_corp_469165"
"66","Parking Garage",469348,"GEMAT PARKING CORP","","233 69 STREET
NEW YORK, NY 10021
","233 69 STREET","NEW YORK","10021","2125359302",53,"[-73.96011525350849,40.766998570052124]",-73.96012,40.767,"gemat_parking_corp_469348","http://schema.org","ParkingFacility","http://nyc.pediacities.com/resource/ParkingFacility/gemat_parking_corp_469348"
"67","Parking Garage",692569,"RIVERBAY CORP","","99 DREISER LOOP
BRONX, NY 10475
","99 DREISER LOOP","BRONX","10475","7183203326",1361,"[-73.82821547009931,40.87834746282968]",-73.82822,40.87835,"riverbay_corp_692569","http://schema.org","ParkingFacility","http://nyc.pediacities.com/resource/ParkingFacility/riverbay_corp_692569"
"68","Parking Garage",692570,"RIVERBAY CORP","","99 CARVER LOOP
BRONX, NY 10475
","99 CARVER LOOP","BRONX","10475","7183203326",1361,"[-73.82473898243039,40.87768366524428]",-73.82474,40.87768,"riverbay_corp_692570","http://schema.org","ParkingFacility","http://nyc.pediacities.com/resource/ParkingFacility/riverbay_corp_692570"
"69","Parking Garage",692572,"RIVERBAY CORP","","99 BELLAMY LOOP
BRONX, NY 10475
","99 BELLAMY LOOP","BRONX","10475","7183203326",1361,"[-73.82649086537073,40.87295205861112]",-73.82649,40.87295,"riverbay_corp_692572","http://schema.org","ParkingFacility","http://nyc.pediacities.com/resource/ParkingFacility/riverbay_corp_692572"
"70","Parking Garage",692573,"RIVERBAY CORP","","999 CO-OP CITY BOULEVARD
BRONX, NY 10475
","999 CO-OP CITY BOULEVARD","BRONX","10475","7183203326",1311,"[-73.82706856556183,40.874142343794176]",-73.82707,40.87414,"riverbay_corp_692573","http://schema.org","ParkingFacility","http://nyc.pediacities.com/resource/ParkingFacility/riverbay_corp_692573"
"71","Parking Garage",695802,"RIVERBAY CORP","","99 ERSKINE PL
BRONX, NY 10475
","99 ERSKINE PL","BRONX","10475","7183203326",1361,"[-73.82146355720171,40.86133866811006]",-73.82146,40.86134,"riverbay_corp_695802","http://schema.org","ParkingFacility","http://nyc.pediacities.com/resource/ParkingFacility/riverbay_corp_695802"
"72","Parking Garage",699003,"T CARDINAL COOKE HEALTH CARE CENTER","","1560 68 MADISON AVENUE
NEW YORK, NY 10029
","1560 68 MADISON AVENUE","NEW YORK","10029","2123603600",350,"[-73.94403228106489,40.79161072055837]",-73.94403,40.79161,"t_cardinal_cooke_health_care_center_699003","http://schema.org","ParkingFacility","http://nyc.pediacities.com/resource/ParkingFacility/t_cardinal_cooke_health_care_center_699003"
"73","Parking Garage",761016,"64TH WEST END PARKING LLC","","110 END AVENUE
NEW YORK, NY 10023
","110 END AVENUE","NEW YORK","10023","2126869800",106,"[-74.1787588373252,40.56343271615765]",-74.17876,40.56343,"64th_west_end_parking_llc_761016","http://schema.org","ParkingFacility","http://nyc.pediacities.com/resource/ParkingFacility/64th_west_end_parking_llc_761016"
"74","Parking Garage",761544,"BV GARAGE CORP","GGMC","245 54 STREET
NEW YORK, NY 10022
","245 54 STREET","NEW YORK","10022","2129966363",178,"[-73.96790761267764,40.75791308655647]",-73.96791,40.75791,"bv_garage_corp_761544","http://schema.org","ParkingFacility","http://nyc.pediacities.com/resource/ParkingFacility/bv_garage_corp_761544"
